code,name,date,open,close,high,low,change,pct_change,volume,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60,volume_5d_avg
sh880710,种业,2025-04-09,1973.02,1964.63,2154.53,1919.75,-0.4252364395697901,2.549339958972552,24035416.0,36.86795502361677,34.17312617380912,30.43706305313407,39.53437169298078,100.0,100.0,100.0,100.0,13477461.0
sh880626,粮食概念,2025-04-09,877.73,893.07,905.24,859.94,1.7476900641427355,2.3095164449943306,46837444.0,13.502281306000018,10.01786264243918,6.709123930602678,11.88409065283571,99.63,99.63,98.87,97.33,25818653.8
sh880764,鸡肉,2025-04-09,930.8100000000001,932.49,956.45,898.97,0.18048796209752258,0.05472220433915265,18356496.0,10.807567079402048,8.66408744493905,14.742580105330493,20.2623229900178,99.25,99.25,99.62,99.24,11308329.4
sh880936,猪肉,2025-04-09,2029.91,2045.99,2075.18,1974.93,0.7921533467000964,0.9707252556358403,30954084.0,5.917098499241602,4.043265123469353,6.791135144163518,9.604062762828725,98.88,98.88,99.25,95.04,18849193.0
sh880760,预制菜,2025-04-09,1017.01,1045.13,1051.35,985.99,2.7649678960875623,1.758400109048086,73568765.0,2.3543468254512367,0.00669818000882394,1.0881340194219824,6.263154148831274,98.5,98.5,98.5,88.55,46078919.2
sh880586,土地流转,2025-04-09,1073.77,1107.1100000000001,1113.0,1049.23,3.104947986999092,2.760425851842907,29541567.0,1.8172621511013176,-0.3043701429098711,-0.12269163802357541,4.937347159295569,98.13,98.13,97.37,82.44,17970329.6
sh880709,人造肉,2025-04-09,1035.67,1051.75,1059.34,1005.52,1.5526181119468485,0.7635708674241792,15549340.0,1.3578628837962237,-0.9576992617146396,-2.543550778354342,3.5961940033883533,97.75,97.75,95.49,73.66,9596831.4
sh880602,免税概念,2025-04-09,1031.88,1099.33,1101.52,995.21,6.53661278443228,5.595151189149727,44232481.0,1.1994844886311418,-2.2626646988744503,-3.365798772876727,0.2891913589256889,97.38,97.0,94.74,48.09,26800998.8
sh880903,水产品,2025-04-09,487.01,499.19,502.21000000000004,467.94,2.5009753393154157,1.0874407678911346,5818387.0,-1.2189571584050762,-6.371445719858948,0.5640726042023481,6.587094845624963,97.0,89.51,98.12,90.08,3881133.4
sh880642,供销社,2025-04-09,968.44,987.6700000000001,995.78,940.11,1.9856676717194683,1.6822295203483995,19547292.0,-1.3474369731111824,-2.1207646644930467,-2.1643949599809753,9.791127068998096,96.63,97.38,96.24,95.8,11620420.6
sh880728,航运概念,2025-04-09,1266.5,1341.04,1341.04,1235.2,5.885511251480455,4.968846864335141,32629127.0,-1.589491450796221,-4.270233999114836,-0.562793353254798,4.071148085489451,96.25,95.13,96.99,76.34,23703239.6
sh880955,乡村振兴,2025-04-09,1279.19,1327.1200000000001,1335.19,1241.25,3.7469023366349066,2.7651946322236887,189770757.0,-2.258097777254031,-4.921838059348616,-5.694084206786276,8.052303333279065,95.88,94.76,89.47,93.51,129053293.0
sh880525,高铁,2025-04-09,1195.33,1235.71,1235.78,1169.6100000000001,3.378146620598505,2.760891801315579,57055279.0,-2.3478370817594185,-5.276915411444549,-6.029657794676801,-0.5144513324209066,95.51,93.26,87.97,41.22,43912926.8
sh880671,中特估,2025-04-09,979.24,1007.76,1007.76,969.07,2.912462726195823,2.2006774435632703,116796379.0,-2.4055781522370645,-3.6438563110138045,-1.7567119655286678,-0.1970784847734608,95.13,96.25,96.62,43.51,101765567.8
sh880564,白酒概念,2025-04-09,6538.110000000001,6782.1,6807.38,6377.5,3.7318124045022145,2.2648109893092405,12956959.0,-2.567933513866838,-5.595953296993916,-5.421254105161866,0.21188694634561855,94.76,91.01,90.98,47.33,11205647.6
sh880741,代糖概念,2025-04-09,895.07,905.3000000000001,911.34,865.5,1.1429273688091455,0.6705438855961088,8517644.0,-3.099779504634681,-2.948113207547165,0.05747253475985037,7.175413465294955,94.38,96.63,97.74,91.22,6324143.6
sh880797,虫害防治,2025-04-09,1047.29,1062.58,1067.09,1012.62,1.4599585597112514,0.24150487726646297,9567446.0,-3.163247637361144,-5.323746135272156,-3.3649211517124744,4.335104032677739,94.01,92.88,95.11,77.86,6784608.4
